Num Qubits,Time,Step,Ops Index,Average_Train_Accuracy,Average_Val_Accuracy,Test_Accuracy
6,0.15,10,0,0.7760836272907167,0.7113899613899614,0.7425742574257426
6,0.15,10,1,0.7818400298259199,0.7086412943555801,0.7326732673267327
6,0.15,10,2,0.7808242278241418,0.7248850891708034,0.7425742574257426
6,0.15,10,3,0.7835355186555393,0.7262456333884906,0.7227722772277227
6,0.15,10,4,0.788270383435143,0.7357510571796286,0.7574257425742574
6,0.15,10,5,0.7740491554102498,0.7086137157565728,0.7227722772277227
6,0.15,10,6,0.7821784393013852,0.7235429306857879,0.698019801980198
6,0.15,10,7,0.7886105136367547,0.7276061776061776,0.7128712871287128
6,0.15,10,8,0.7855671226590955,0.7302904945762089,0.698019801980198
6,0.15,10,9,0.7804835240471479,0.7221823864681007,0.7029702970297029
6,0.15,10,10,0.7808225070979953,0.7181283324140467,0.7277227722772277
6,0.15,10,11,0.7760778915368952,0.7248942820371391,0.7079207920792079
6,0.15,10,12,0.777095987840202,0.7194796837653981,0.7227722772277227
6,0.15,10,13,0.7825162752014683,0.7194980694980695,0.7227722772277227
6,0.15,10,14,0.7815039146519831,0.7194796837653981,0.7326732673267327
6,0.15,10,15,0.7855642547821848,0.7248850891708034,0.7029702970297029
6,0.15,10,16,0.775061515959735,0.7235888950174665,0.7079207920792079
6,0.15,10,17,0.7713344231265594,0.7127045412759698,0.7376237623762376
6,0.15,10,18,0.774046287533339,0.7248942820371391,0.7128712871287128
6,0.15,10,19,0.7791293125699046,0.7140558926273212,0.7128712871287128
6,0.15,10,20,0.7828569789784623,0.7276061776061776,0.7128712871287128
6,0.15,10,21,0.7821749978490924,0.7167402095973524,0.7178217821782178
6,0.15,10,22,0.7852275660328659,0.7262364405221549,0.7326732673267327
6,0.15,10,23,0.7831959620293097,0.718082368082368,0.7178217821782178
6,0.15,10,24,0.7798055579454529,0.7208310351167494,0.7227722772277227
6,0.15,10,25,0.7875987266626516,0.73710240853098,0.7178217821782178
6,0.15,10,26,0.7875981530872694,0.7316970031255746,0.7079207920792079
6,0.15,10,27,0.7828546846769336,0.7194704908990623,0.7178217821782178
6,0.15,10,28,0.7875981530872694,0.7275877918735062,0.7425742574257426
6,0.15,10,29,0.7808202127964667,0.7235613164184593,0.7079207920792079
